,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
VSTOXX_lag21d,-0.026089061,0.010589882,-0.03245274,-0.04489133,0.052457225,-0.008885799,0.008045834,0.03597545,0.12973046,0.0076068854,0.022773417,0.064955875,0.024916295,0.028600084,-0.045381445,0.022026865,0.017033791,0.012180451,0.060258806,0.08478379,-0.013525649,0.043311834,-0.07859437,0.0060509103,0.043306313,-0.052411806,0.02312626
HangSeng_lag1d,-0.049115475,0.04860192,0.025656931,0.02039648,-0.045533,-0.025872312,0.054313034,-0.036654696,-0.003969102,-0.012053802,-0.03213975,0.0679435,0.018069163,-0.044325054,-0.029166093,-0.0142178545,0.058430288,0.0013227925,0.0015362854,-0.023665972,0.025685309,0.008216838,0.0006312404,0.01579981,-0.0042862236,-0.016527474,-0.0042454298
HangSeng_lag5d,-0.048895292,0.049544293,0.022884116,0.021772996,-0.04392519,-0.031149259,0.054381005,-0.037246257,-0.0054303166,-0.01322426,-0.02687774,0.06456908,0.015647942,-0.04322263,-0.024504786,-0.013055445,0.0642625,0.0067058923,0.0069797193,-0.022905238,0.024239631,0.008707023,0.000729317,0.017358959,-0.012408309,-0.012627147,-0.011525541
HangSeng_lag21d,-0.048310358,0.052996203,0.014973614,0.029059412,-0.031398185,-0.03787957,0.054448444,-0.03204245,-0.008646062,-0.0036165132,-0.02559261,0.058690358,0.015945503,-0.03675791,0.0032878867,-0.011111094,0.066912435,0.014208454,0.00079093117,-0.022703147,0.023586508,0.0053236987,0.033094026,0.025293624,-0.011807431,-0.036717538,-0.044655368
SP500_lag1d,0.06377952,-0.0348627,0.04872822,-0.0009694155,-0.04556527,-0.020016331,0.057840392,0.01849873,0.019311873,-0.0012445851,0.0058191707,0.013871467,-0.005382021,0.004511188,0.001644587,-0.0009045244,0.010202226,0.010015526,-0.0012544,0.01657912,-0.0037748406,-0.0002642099,0.010030873,-0.009392894,-0.0016313368,-0.009161709,0.013179479
SP500_lag5d,0.06416697,-0.03470252,0.047366526,-0.0011751959,-0.044351805,-0.022352885,0.059334412,0.017149363,0.017893719,-0.0040641306,0.0073710387,0.012474022,-0.005057948,0.0025266644,0.005928452,0.0009705243,0.010543742,0.009442732,-0.0007482387,0.017328896,-0.0033012652,-0.0007093871,0.012270702,-0.012317804,-0.007447589,-0.0021806431,0.01406158
SP500_lag21d,0.06530028,-0.034066282,0.04213282,-0.0005491852,-0.035677128,-0.027657112,0.064659715,0.015605714,0.018169673,-0.008979326,0.0012096692,0.0094134705,0.008943889,0.003667699,0.025953446,0.0054144356,0.0110572735,0.0032231214,-0.018764753,0.013862787,-0.0067687174,-0.009006602,0.034502886,-0.0099032475,-0.0123096965,0.013280212,-0.0023819853
KOSPI_lag1d,0.044000316,0.04252859,0.06568517,-0.0039840927,-0.056466196,-0.04462208,0.015693054,0.03396249,0.0064667664,0.019127239,0.015690412,0.033897005,0.010843695,-0.023810834,-0.004959828,0.0059130345,0.026726896,-0.005850886,-0.021508057,-0.031156253,0.018591441,0.012824245,-0.047103494,0.0011096456,-0.03744466,-0.017867403,0.022452109
KOSPI_lag5d,0.045347903,0.043393515,0.06187313,-0.0022509182,-0.055559013,-0.049148716,0.016906446,0.03267664,0.0043484624,0.01431022,0.02007398,0.028764084,0.007726171,-0.02122201,-0.0008855359,0.007996095,0.02974805,-0.005878646,-0.02364488,-0.02868091,0.019042758,0.009323596,-0.04600157,0.0023174088,-0.0491616,-0.009598141,0.017500933
KOSPI_lag21d,0.049816206,0.04644406,0.047034137,0.004394681,-0.04774742,-0.055320736,0.023145285,0.03382034,0.0031984653,0.017684476,0.019763347,0.015579161,0.01026198,-0.0043434086,0.026471585,0.010024644,0.022833373,-0.011383622,-0.057158656,-0.025954956,0.013825165,-0.002382355,-0.010364392,0.018807698,-0.064293146,-0.004062085,-0.024999538
